"","Country","Score.2015","rank.2015","Score.2016","rank.2016","Score.2017","rank.2017","Score.2018","rank.2018","Score.2019","rank.2019","Score.Mean","GDP.2015","GDP.2016","GDP.2017","GDP.2018","GDP.2019","GDP.Mean","Social.2015","Social.2016","Social.2017","Social.2018","Social.2019","Social.support.Mean","Health.2015","Health.2016","Health.2017","Health.Mean","Freedom.2015","Freedom.2016","Freedom.2017","Freedom.2018","Freedom.2019","Freedom.Mean","Generosity.2015","Generosity.2016","Generosity.2017","Generosity.2018","Generosity.2019","Generosity.Mean","Perceptions.of.corruption.2015","Perceptions.of.corruption.2016","Perceptions.of.corruption.2017","Perceptions.of.corruption.2018","Perceptions.of.corruption.2019","Perceptions.of.corruption.Mean","rank.mean"
"1","Switzerland",7.587,1,7.509,2,7.49399995803833,4,7.487,5,7.48,6,7.587,1.39651,1.52733,1.56497955322266,1.42,1.452,1.39651,1.34951,1.14524,1.51691174507141,1.549,1.526,1.34951,0.94143,0.86303,0.858131289482117,0.94143,0.66557,0.58557,0.620070576667786,0.66,0.572,0.66557,0.29678,0.28083,0.290549278259277,0.256,0.263,0.29678,0.41978,0.41203,0.367007285356522,"0.357",0.343,0.41978,123.6
"2","Iceland",7.561,2,7.501,3,7.50400018692017,3,7.495,4,7.494,4,7.561,1.30232,1.42666,1.480633020401,1.343,1.38,1.30232,1.40223,1.18326,1.6105740070343,1.644,1.624,1.40223,0.94784,0.86733,0.833552122116089,0.94784,0.62877,0.56624,0.627162635326385,0.677,0.591,0.62877,0.4363,0.47678,0.475540220737457,0.353,0.354,0.4363,0.14145,0.14975,0.153526559472084,"0.138",0.118,0.14145,63
"3","Denmark",7.527,3,7.526,1,7.52199983596802,2,7.555,3,7.6,2,7.527,1.32548,1.44178,1.48238301277161,1.351,1.383,1.32548,1.36058,1.16374,1.55112159252167,1.59,1.573,1.36058,0.87464,0.79504,0.792565524578094,0.87464,0.64938,0.57941,0.626006722450256,0.683,0.592,0.64938,0.34139,0.36171,0.355280488729477,0.284,0.252,0.34139,0.48357,0.44453,0.40077006816864,"0.408",0.41,0.48357,34.6
"4","Norway",7.522,4,7.498,4,7.53700017929077,1,7.594,2,7.554,3,7.522,1.459,1.57744,1.61646318435669,1.456,1.488,1.459,1.33095,1.1269,1.53352355957031,1.582,1.582,1.33095,0.88521,0.79579,0.796666502952576,0.88521,0.66973,0.59609,0.635422587394714,0.686,0.603,0.66973,0.34699,0.37895,0.36201223731041,0.286,0.271,0.34699,0.36503,0.35776,0.315963834524155,"0.340",0.341,0.36503,106.6
"5","Canada",7.427,5,7.404,6,7.31599998474121,7,7.328,7,7.278,9,7.427,1.32629,1.44015,1.47920441627502,1.33,1.365,1.32629,1.32261,1.0961,1.48134899139404,1.532,1.505,1.32261,0.90563,0.8276,0.83455765247345,0.90563,0.63297,0.5737,0.611100912094116,0.653,0.584,0.63297,0.45811,0.44834,0.435539722442627,0.321,0.285,0.45811,0.32957,0.31329,0.287371516227722,"0.291",0.308,0.32957,27.6
"6","Finland",7.406,6,7.413,5,7.4689998626709,5,7.632,1,7.769,1,7.406,1.29025,1.40598,1.44357192516327,1.305,1.34,1.29025,1.31826,1.13464,1.5402467250824,1.592,1.587,1.31826,0.88911,0.81091,0.80915766954422,0.88911,0.64169,0.57104,0.617950856685638,0.681,0.596,0.64169,0.23351,0.25492,0.24548277258873,0.202,0.153,0.23351,0.41372,0.41004,0.38261154294014,"0.393",0.393,0.41372,52.4
"7","Netherlands",7.378,7,7.339,7,7.3769998550415,6,7.441,6,7.488,5,7.378,1.32944,1.46468,1.50394463539124,1.361,1.396,1.32944,1.28017,1.02912,1.42893922328949,1.488,1.522,1.28017,0.89284,0.81231,0.810696125030518,0.89284,0.61576,0.55211,0.585384488105774,0.638,0.557,0.61576,0.4761,0.47416,0.470489829778671,0.333,0.322,0.4761,0.31814,0.29927,0.282661825418472,"0.295",0.298,0.31814,91
"8","Sweden",7.364,8,7.291,10,7.28399991989136,9,7.314,9,7.343,7,7.364,1.33171,1.45181,1.49438726902008,1.355,1.387,1.33171,1.28907,1.08764,1.47816216945648,1.501,1.487,1.28907,0.91087,0.83121,0.830875158309937,0.91087,0.6598,0.58218,0.612924098968506,0.659,0.574,0.6598,0.36262,0.38254,0.385399252176285,0.285,0.267,0.36262,0.43844,0.40867,0.384398728609085,"0.383",0.373,0.43844,113
"9","New Zealand",7.286,9,7.334,8,7.31400012969971,8,7.324,8,7.307,8,7.286,1.25018,1.36066,1.40570604801178,1.268,1.303,1.25018,1.31967,1.17278,1.54819512367249,1.601,1.557,1.31967,0.90837,0.83096,0.816759705543518,0.90837,0.63938,0.58147,0.614062130451202,0.669,0.585,0.63938,0.47501,0.49401,0.500005125999451,0.365,0.33,0.47501,0.42922,0.41904,0.382816702127457,"0.389",0.38,0.42922,80.2
"10","Australia",7.284,10,7.313,9,7.28399991989136,10,7.272,10,7.228,11,7.284,1.33358,1.44443,1.484414935112,1.34,1.372,1.33358,1.30923,1.10476,1.51004195213318,1.573,1.548,1.30923,0.93156,0.8512,0.84388679265976,0.93156,0.65124,0.56837,0.601607382297516,0.647,0.557,0.65124,0.43562,0.47407,0.477699249982834,0.361,0.332,0.43562,0.35637,0.32331,0.301183730363846,"0.302",0.29,0.35637,3.6
